Executor Agent iniciado...
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: EXECUTADO: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
Ação executada: REFINAR: curto
